upper,lower,mean,var,mid_week,phe_region,alpha,beta
0.7243828327487528,0.612785866459396,0.6726807367848273,7.807211069902746e-4,2020-07-19,London,189.03880555388628,91.98426410828952
0.7259979082527992,0.6152964820582916,0.6748310689839123,7.686566014213622e-4,2020-07-26,London,191.97419606584188,92.50321596987823
0.7228185608780976,0.6121938075838386,0.671308223378843,7.710607214659768e-4,2020-08-02,London,191.43613542890165,93.73262723776313
0.7337301636936967,0.624370370204074,0.6831627662385672,7.534118629558334e-4,2020-08-09,London,195.58602966039075,90.70889056377466
0.7402572592042543,0.6407901630127025,0.6944299874994103,6.213500859351076e-4,2020-08-16,London,236.46003329699576,104.04950337850177
0.7352583089996946,0.6342745495136705,0.6883394180386326,6.402841322466619e-4,2020-08-23,London,229.94092763872058,104.110735847178
0.7385879555679726,0.6362458215225785,0.6912987426014153,6.566967977416622e-4,2020-08-30,London,223.95798269967997,100.00902157535637
0.7479572928365664,0.65224361047143,0.7040162471245598,5.771904878757056e-4,2020-09-06,London,253.46000366440242,106.5601019789243
0.7229408524714753,0.6241808956418958,0.6768367318368596,6.162953002284968e-4,2020-09-13,London,239.5386346104874,114.37040037998395
0.7326870272779055,0.6184313937178089,0.67964220460843106,8.227160344022799e-4,2020-09-20,London,179.18508967668961,84.46111778614046
0.7582507184789227,0.6680585002520892,0.7173802388931488,5.1096898568269e-4,2020-09-27,London,283.9297456781805,111.85721677879734
0.7632218231054293,0.6827319269740902,0.726266247828868,4.135365967622108e-4,2020-10-04,London,348.41897248364563,131.32103130315366
0.7489289149769767,0.6643032446484621,0.7099129166047354,4.499848850383239e-4,2020-10-11,London,324.18328703213825,132.46890149627063
0.7446546231729706,0.6484996527227398,0.7001959867877747,5.817743088669942e-4,2020-10-18,London,251.9514533300761,107.87844870339713
0.73433623157350425,0.636579460259362,0.688915575587674,5.99870744759065e-4,2020-10-25,London,245.4343067512904,110.8274986839033
0.7152407221390212,0.6026457616041342,0.6624673643799163,7.93886011755035e-4,2020-11-01,London,185.92677323965228,94.73123836471369
0.721829134135031,0.603894515666253,0.6668550354064502,8.728506227108781e-4,2020-11-08,London,169.06220146519772,84.45946739669186
0.7243462130445202,0.6138097375966888,0.6729096310099797,7.705137528208259e-4,2020-11-15,London,191.5480983459048,93.10839863186547
0.6997719340474599,0.5810220639757845,0.6432879921568807,8.885388029547847e-4,2020-11-22,London,165.48830146729037,91.76553116282687
0.6969191280955463,0.5616396207698647,0.6324850734039318,0.001150759130775994,2020-11-29,London,127.12640037294999,73.86869930391096
0.7313152094341975,0.6130907294739627,0.6768349220424467,8.830101454970776e-4,2020-12-06,London,166.98115197090527,79.72767839945392
0.7749886543272784,0.6926221837432802,0.7379674758984892,4.315570431833966e-4,2020-12-13,London,329.92947398119964,117.14913687425076
0.7769836615141319,0.7118628548458976,0.7472785496939754,2.6941032446931777e-4,2020-12-20,London,523.0857798214479,176.90190219573472
0.7486971496285473,0.6684587007001963,0.7113365491623597,4.06944823796594e-4,2020-12-27,London,358.215984779342,145.3655972455972
0.7241718398976106,0.6201094193476339,0.6753572537607287,6.82108285064202e-4,2021-01-03,London,216.40449460912725,104.02516451436364
0.6955415942415836,0.573741561789991,0.6373284104154441,9.255079870826917e-4,2021-01-10,London,158.53219723156295,90.21271142271053
0.6639697762669698,0.5195568169015371,0.5943111254167026,0.0013192535859987604,2021-01-17,London,108.02137129247453,73.73758739559496
0.6431189254323119,0.4842859065511722,0.5665192037293592,0.0016025399911900587,2021-01-24,London,86.24757903726125,65.99364856720305
0.6242685584270384,0.45364471336909074,0.5410994775588361,0.0018440196751420626,2021-01-31,London,72.32193110157974,61.33543524417847
0.6147475301347044,0.4368732325681039,0.5276525281654849,0.0020062019066766986,2021-02-07,London,65.02390317545456,58.20852669942222
0.6126986732717173,0.4303211089131542,0.5234420613518643,0.0020999995694543625,2021-02-14,London,61.654126922659636,56.13183541179433
0.6314827221628916,0.45253782334659426,0.5448174201598963,0.0020329916966665856,2021-02-21,London,65.91390661936789,55.06957184580872
0.6372216686434721,0.46862451653297926,0.555948321216483,0.001799007688658953,2021-02-28,London,75.73435526743273,60.49117573465159
0.6420638535062657,0.4733782517161977,0.5603609852739435,0.0018200789530184332,2021-03-07,London,75.2872277547966,59.06764300407852
0.6697717818044938,0.5115142874060437,0.5943689757698052,0.0016046262920458726,2021-03-14,London,88.7093459181992,60.540277690277456
0.6885381396547913,0.5459928387487968,0.6208930467699244,0.001284954214139413,2021-03-21,London,113.117657526644,69.06775768313594
0.6892180229025037,0.5531981136449063,0.6245503073128345,0.0011654734948518147,2021-03-28,London,125.03173149667641,75.16308072691055
0.6745074758396972,0.5333903727281184,0.6069917933502686,0.0012604569244152057,2021-04-04,London,114.27163869596536,73.98731298647388
0.6869327957833335,0.5404994623384161,0.617048422949479,0.001352940400767268,2021-04-11,London,107.1543926462963,66.50198286812518
0.7030688212771649,0.5714912490982329,0.640966772812207,0.001086229443721632,2021-04-18,London,135.15413511773764,75.70567985325717
0.6864129409368183,0.5548706670341639,0.6235271737067454,0.001088624811341288,2021-04-25,London,133.82813519034733,80.80266332764765
0.669735228294962,0.524193179670627,0.599839064903336,0.0013422331753421177,2021-05-02,London,106.66965010994552,71.16079867407176
0.6946202889233121,0.549051133929799,0.6255273361860414,0.0013329452071196215,2021-05-09,London,109.30046878671388,65.43285214717135
0.7170757465126494,0.5947471479524277,0.6600832700543143,9.446408436932031e-4,2021-05-16,London,156.12446967165258,80.39791584314166
